,pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,predicted,probability space %,calibration logreg probability space %,calibration isoreg probability space %
4628,2019-03-30 01:22:34,2019-03-30 01:35:19,2,5.44,17.0,2.0,0.0,22.8,yellow,Sutton Place/Turtle Bay North,Financial District North,Manhattan,Manhattan,0,0.03,1.24,0.0
4041,2019-03-12 18:42:51,2019-03-12 18:54:04,1,2.1,9.5,2.75,0.0,16.55,yellow,Midtown North,Central Park,Manhattan,Manhattan,0,0.01,1.24,0.0
1192,2019-03-26 08:02:40,2019-03-26 08:35:47,1,9.49,31.0,6.36,0.0,38.16,yellow,LaGuardia Airport,Long Island City/Hunters Point,Queens,Queens,0,0.15,1.25,0.0
2957,2019-03-17 15:56:55,2019-03-17 16:04:39,4,1.3,7.5,0.0,0.0,10.8,yellow,Garment District,Midtown North,Manhattan,Manhattan,1,95.08,94.99,100.0
93,2019-03-12 12:02:26,2019-03-12 12:17:00,3,0.66,9.5,1.2,0.0,14.0,yellow,Sutton Place/Turtle Bay North,Midtown Center,Manhattan,Manhattan,0,0.02,1.24,0.0
4712,2019-03-07 14:53:05,2019-03-07 15:08:55,2,1.9,11.5,0.0,0.0,14.8,yellow,Murray Hill,Greenwich Village North,Manhattan,Manhattan,1,93.84,94.52,96.77
4798,2019-03-28 21:12:19,2019-03-28 21:14:22,2,0.63,4.0,0.0,0.0,7.8,yellow,Yorkville West,Yorkville West,Manhattan,Manhattan,1,91.41,93.46,93.78
5361,2019-03-15 19:05:05,2019-03-15 19:18:11,4,2.51,20.0,4.56,0.0,27.36,yellow,West Village,Battery Park,Manhattan,Manhattan,0,0.08,1.24,0.0
617,2019-03-04 06:47:08,2019-03-04 06:49:48,2,0.82,4.5,1.56,0.0,9.36,yellow,Upper East Side South,Midtown East,Manhattan,Manhattan,0,0.02,1.24,0.0
940,2019-03-30 22:29:57,2019-03-30 22:44:26,2,4.88,15.5,3.86,0.0,23.16,yellow,Sutton Place/Turtle Bay North,Seaport,Manhattan,Manhattan,0,0.03,1.24,0.0
4675,2019-03-05 20:20:51,2019-03-05 20:22:27,1,0.5,3.5,0.0,0.0,7.3,yellow,Upper West Side North,Upper West Side North,Manhattan,Manhattan,1,88.84,92.15,93.78
768,2019-03-15 23:02:19,2019-03-15 23:42:01,6,8.4,31.5,2.0,0.0,37.3,yellow,Prospect Heights,Upper West Side South,Brooklyn,Manhattan,0,1.53,1.39,0.0
2834,2019-03-12 08:32:20,2019-03-12 08:46:05,1,2.2,11.0,0.0,0.0,14.3,yellow,Midtown Center,East Chelsea,Manhattan,Manhattan,1,93.74,94.48,96.77
2715,2019-03-14 20:45:41,2019-03-14 20:55:03,1,1.8,9.0,2.56,0.0,15.36,yellow,Midtown Center,Central Park,Manhattan,Manhattan,0,0.01,1.24,0.0
4452,2019-03-31 12:41:46,2019-03-31 13:21:10,1,4.4,25.0,6.0,0.0,34.3,yellow,Lenox Hill West,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,0.03,1.24,0.0
3262,2019-03-13 12:28:42,2019-03-13 12:43:50,1,1.8,10.5,2.07,0.0,15.87,yellow,Midtown Center,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
2260,2019-03-09 10:44:52,2019-03-09 10:52:53,2,1.5,7.5,0.0,0.0,10.8,yellow,Yorkville West,Sutton Place/Turtle Bay North,Manhattan,Manhattan,1,90.95,93.24,93.78
3007,2019-03-03 03:26:02,2019-03-03 03:46:42,1,6.85,23.0,0.0,0.0,26.8,yellow,Meatpacking/West Village West,Morningside Heights,Manhattan,Manhattan,1,66.68,68.04,75.0
2875,2019-03-14 19:41:57,2019-03-14 19:54:50,1,2.05,10.5,1.08,0.0,15.88,yellow,Lower East Side,West Village,Manhattan,Manhattan,0,0.01,1.24,0.0
1567,2019-03-25 09:48:52,2019-03-25 09:58:21,1,0.35,7.0,2.58,0.0,12.88,yellow,Midtown North,Central Park,Manhattan,Manhattan,0,0.01,1.24,0.0
1886,2019-03-14 19:34:17,2019-03-14 19:47:56,1,1.61,10.0,1.43,0.0,15.73,yellow,Times Sq/Theatre District,Upper East Side South,Manhattan,Manhattan,0,0.01,1.24,0.0
2701,2019-03-22 00:45:28,2019-03-22 01:20:22,2,21.14,52.0,15.26,5.76,76.32,yellow,JFK Airport,Upper West Side South,Queens,Manhattan,0,0.11,1.25,0.0
2351,2019-03-16 16:14:24,2019-03-16 16:29:57,1,1.48,11.0,0.0,0.0,14.3,yellow,Upper East Side North,Midtown East,Manhattan,Manhattan,1,94.98,94.96,100.0
2112,2019-03-12 18:10:51,2019-03-12 18:44:29,1,8.3,28.5,2.2,0.0,35.0,yellow,Garment District,Washington Heights South,Manhattan,Manhattan,0,0.08,1.24,0.0
3182,2019-03-14 12:30:25,2019-03-14 12:53:18,2,2.6,16.0,0.0,0.0,19.3,yellow,Penn Station/Madison Sq West,Upper East Side South,Manhattan,Manhattan,1,91.83,93.66,93.78
2076,2019-03-16 07:14:02,2019-03-16 07:40:27,2,9.93,31.0,11.0,0.0,45.3,yellow,Upper West Side North,LaGuardia Airport,Manhattan,Queens,0,0.13,1.25,0.0
3908,2019-03-11 09:54:06,2019-03-11 10:09:14,1,4.54,17.0,2.0,0.0,19.8,yellow,Manhattan Valley,Washington Heights South,Manhattan,Manhattan,0,0.02,1.24,0.0
1488,2019-03-26 20:13:27,2019-03-26 20:20:29,1,1.0,6.5,1.0,0.0,11.3,yellow,Greenwich Village North,East Village,Manhattan,Manhattan,0,0.02,1.24,0.0
2827,2019-03-13 21:12:24,2019-03-13 21:24:02,1,2.0,10.0,2.76,0.0,16.56,yellow,Times Sq/Theatre District,Lincoln Square West,Manhattan,Manhattan,0,0.01,1.24,0.0
3485,2019-03-21 12:48:38,2019-03-21 13:03:12,1,1.59,10.0,1.3,0.0,14.6,yellow,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan,0,0.01,1.24,0.0
15,2019-03-16 17:53:34,2019-03-16 18:13:57,3,2.09,13.5,0.0,0.0,16.8,yellow,Upper West Side North,Clinton East,Manhattan,Manhattan,1,91.62,93.56,93.78
818,2019-03-23 15:08:14,2019-03-23 15:35:29,1,3.3,18.5,4.35,0.0,26.15,yellow,Penn Station/Madison Sq West,Lenox Hill West,Manhattan,Manhattan,0,0.02,1.24,0.0
3581,2019-03-14 00:01:56,2019-03-14 00:20:57,1,3.6,15.0,3.75,0.0,22.55,yellow,Midtown North,Little Italy/NoLiTa,Manhattan,Manhattan,0,0.01,1.24,0.0
5059,2019-03-05 12:23:35,2019-03-05 12:38:22,2,1.0,10.0,0.0,0.0,13.3,yellow,Lenox Hill West,Sutton Place/Turtle Bay North,Manhattan,Manhattan,1,94.15,94.64,96.77
5205,2019-03-05 17:30:29,2019-03-05 17:48:49,1,2.45,13.5,3.56,0.0,21.36,yellow,Clinton West,Gramercy,Manhattan,Manhattan,0,0.02,1.24,0.0
6256,2019-03-27 08:41:35,2019-03-27 09:11:44,1,6.0,18.38,0.0,0.0,18.88,green,Soundview/Castle Hill,West Concourse,Bronx,Bronx,0,27.29,9.28,9.09
2263,2019-03-18 21:04:31,2019-03-18 21:15:52,0,2.7,11.0,2.95,0.0,17.75,yellow,Lincoln Square East,Morningside Heights,Manhattan,Manhattan,0,0.02,1.24,0.0
5894,2019-03-30 21:48:25,2019-03-30 22:11:29,1,4.2,17.0,3.65,0.0,21.95,green,Fort Greene,Brownsville,Brooklyn,Brooklyn,0,0.5,1.28,0.0
3990,2019-03-14 07:07:53,2019-03-14 07:11:37,1,0.86,5.0,1.25,0.0,9.55,yellow,Yorkville East,Lenox Hill East,Manhattan,Manhattan,0,0.01,1.24,0.0
4844,2019-03-24 10:25:43,2019-03-24 10:32:24,6,1.89,7.5,0.54,0.0,11.34,yellow,Midtown East,Greenwich Village North,Manhattan,Manhattan,0,1.18,1.35,0.0
1090,2019-03-24 19:36:52,2019-03-24 19:49:13,1,2.6,11.5,2.95,0.0,17.75,yellow,Greenwich Village North,Battery Park City,Manhattan,Manhattan,0,0.01,1.24,0.0
4076,2019-03-17 08:58:03,2019-03-17 08:59:57,1,0.43,3.5,0.0,0.0,6.8,yellow,West Village,Greenwich Village North,Manhattan,Manhattan,1,92.05,93.76,93.78
395,2019-03-28 13:20:19,2019-03-28 13:36:52,1,1.08,11.0,0.0,0.0,14.3,yellow,Times Sq/Theatre District,UN/Turtle Bay South,Manhattan,Manhattan,1,93.9,94.54,96.77
4694,2019-03-05 19:35:29,2019-03-05 19:37:03,2,0.53,3.5,0.0,0.0,5.3,yellow,East Harlem South,Yorkville West,Manhattan,Manhattan,1,90.28,92.91,93.78
5018,2019-03-22 19:04:27,2019-03-22 19:17:39,1,2.3,11.5,1.58,0.0,17.38,yellow,World Trade Center,Greenwich Village North,Manhattan,Manhattan,0,0.02,1.24,0.0
1895,2019-03-19 15:47:52,2019-03-19 15:52:23,1,0.66,5.0,0.0,0.0,5.8,yellow,Washington Heights South,Hamilton Heights,Manhattan,Manhattan,1,88.87,92.17,93.78
4604,2019-03-20 17:21:34,2019-03-20 17:27:49,1,0.4,5.5,1.95,0.0,11.75,yellow,Midtown Center,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
2369,2019-03-10 22:37:14,2019-03-10 22:41:15,1,0.7,5.0,0.88,0.0,9.68,yellow,West Chelsea/Hudson Yards,Flatiron,Manhattan,Manhattan,0,0.03,1.24,0.0
5939,2019-03-22 09:42:41,2019-03-22 09:48:39,1,0.7,5.5,1.7,0.0,8.0,green,Fort Greene,Fort Greene,Brooklyn,Brooklyn,0,0.11,1.25,0.0
1055,2019-03-20 23:42:07,2019-03-20 23:47:53,1,0.9,6.0,0.0,0.0,9.8,yellow,West Village,East Village,Manhattan,Manhattan,1,92.93,94.14,93.78
2439,2019-03-29 02:21:44,2019-03-29 02:31:26,1,1.6,9.0,0.0,0.0,10.3,yellow,Astoria,Sunnyside,Queens,Queens,1,92.86,94.11,93.78
1264,2019-03-06 07:49:53,2019-03-06 07:54:25,2,0.82,5.0,0.0,0.0,8.3,yellow,Hudson Sq,Little Italy/NoLiTa,Manhattan,Manhattan,1,93.23,94.27,96.77
2883,2019-03-13 17:26:59,2019-03-13 17:51:01,1,2.9,16.0,4.06,0.0,24.36,yellow,Central Park,Union Sq,Manhattan,Manhattan,0,0.02,1.24,0.0
3771,2019-03-28 23:44:02,2019-03-28 23:49:23,5,1.03,6.0,1.96,0.0,11.76,yellow,Gramercy,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.03,1.24,0.0
1063,2019-03-09 16:59:20,2019-03-09 17:24:47,2,4.44,19.0,4.46,0.0,26.76,yellow,Penn Station/Madison Sq West,Morningside Heights,Manhattan,Manhattan,0,0.03,1.24,0.0
6366,2019-03-02 01:06:48,2019-03-02 01:28:04,1,3.5,15.5,2.0,0.0,21.55,green,Williamsburg (North Side),East Village,Brooklyn,Manhattan,0,0.8,1.31,0.0
3583,2019-03-02 14:49:24,2019-03-02 14:54:12,1,1.02,5.5,0.0,0.0,8.8,yellow,Midtown East,Upper East Side North,Manhattan,Manhattan,1,94.54,94.79,96.77
1193,2019-03-30 03:52:04,2019-03-30 03:58:15,2,0.9,6.0,1.0,0.0,10.8,yellow,Greenwich Village South,SoHo,Manhattan,Manhattan,0,0.01,1.24,0.0
267,2019-03-27 00:09:57,2019-03-27 00:37:20,1,9.39,29.5,0.0,0.0,33.3,yellow,Garment District,Park Slope,Manhattan,Brooklyn,1,76.77,82.24,83.33
3929,2019-03-23 19:12:42,2019-03-23 19:23:38,2,1.21,8.0,2.26,0.0,13.56,yellow,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan,0,0.02,1.24,0.0
2445,2019-03-23 14:53:48,2019-03-23 15:16:00,5,4.36,18.0,6.39,0.0,27.69,yellow,Lenox Hill West,Midtown East,Manhattan,Manhattan,0,0.05,1.24,0.0
2035,2019-03-03 15:37:03,2019-03-03 15:53:15,1,1.6,11.5,2.95,0.0,17.75,yellow,East Chelsea,Garment District,Manhattan,Manhattan,0,0.01,1.24,0.0
507,2019-03-24 17:06:49,2019-03-24 17:13:39,1,1.14,7.0,0.0,0.0,10.3,yellow,Times Sq/Theatre District,Penn Station/Madison Sq West,Manhattan,Manhattan,1,95.01,94.97,100.0
2023,2019-03-22 17:09:41,2019-03-22 17:20:25,1,1.5,9.0,0.0,0.0,13.3,yellow,East Village,West Village,Manhattan,Manhattan,1,93.12,94.23,93.78
6089,2019-03-17 23:16:34,2019-03-17 23:16:52,1,10.1,12.0,0.0,0.0,12.0,green,Murray Hill-Queens,Murray Hill-Queens,Queens,Queens,1,51.41,39.63,42.86
5537,2019-03-14 14:27:34,2019-03-14 14:33:50,1,0.71,6.0,0.0,0.0,6.8,green,Central Harlem,East Harlem North,Manhattan,Manhattan,1,84.11,89.07,93.78
1432,2019-03-30 10:09:03,2019-03-30 10:14:41,1,0.7,6.0,1.0,0.0,10.3,yellow,Upper West Side South,Lincoln Square East,Manhattan,Manhattan,0,0.01,1.24,0.0
3846,2019-03-06 09:45:01,2019-03-06 10:00:17,1,1.56,11.0,0.0,0.0,14.3,yellow,Midtown Center,Lenox Hill West,Manhattan,Manhattan,1,94.83,94.9,96.77
198,2019-03-19 16:13:05,2019-03-19 16:14:39,1,0.2,3.0,0.0,0.0,7.3,yellow,Greenwich Village North,Greenwich Village North,Manhattan,Manhattan,1,88.96,92.21,93.78
566,2019-03-30 22:57:52,2019-03-30 23:15:38,5,2.32,12.5,2.44,0.0,18.74,yellow,Greenwich Village South,Murray Hill,Manhattan,Manhattan,0,0.03,1.24,0.0
6409,2019-03-21 17:46:43,2019-03-21 17:50:46,1,0.7,5.0,0.0,0.0,6.8,green,Bushwick South,Bedford,Brooklyn,Brooklyn,1,72.34,76.69,75.0
3713,2019-03-06 05:34:12,2019-03-06 05:43:33,1,2.9,10.5,2.85,0.0,17.15,yellow,Garment District,Lenox Hill East,Manhattan,Manhattan,0,0.01,1.24,0.0
5603,2019-03-23 19:45:23,2019-03-23 19:55:26,1,1.79,9.0,0.0,0.0,9.8,green,Elmhurst,Woodside,Queens,Queens,1,92.37,93.9,93.78
1581,2019-03-28 20:06:02,2019-03-28 20:21:55,1,2.11,11.0,2.96,0.0,17.76,yellow,West Chelsea/Hudson Yards,Meatpacking/West Village West,Manhattan,Manhattan,0,0.01,1.24,0.0
1359,2019-03-29 22:02:42,2019-03-29 22:18:01,1,3.16,13.0,5.04,0.0,21.84,yellow,Yorkville East,Lincoln Square East,Manhattan,Manhattan,0,0.02,1.24,0.0
1100,2019-03-20 18:55:36,2019-03-20 19:09:51,1,2.0,11.0,3.05,0.0,18.35,yellow,Midtown East,Lincoln Square East,Manhattan,Manhattan,0,0.02,1.24,0.0
2897,2019-03-10 12:15:39,2019-03-10 12:26:06,4,1.8,9.0,2.45,0.0,14.75,yellow,Upper East Side North,Lincoln Square East,Manhattan,Manhattan,0,0.03,1.24,0.0
1243,2019-03-29 08:35:58,2019-03-29 08:59:50,5,2.78,16.0,3.86,0.0,23.16,yellow,Lincoln Square West,Midtown East,Manhattan,Manhattan,0,0.04,1.24,0.0
6032,2019-03-22 19:35:03,2019-03-22 19:42:59,3,1.05,7.0,1.8,0.0,10.6,green,Cobble Hill,Boerum Hill,Brooklyn,Brooklyn,0,0.47,1.28,0.0
5641,2019-03-26 16:11:57,2019-03-26 16:40:06,1,4.0,19.0,0.0,0.0,20.8,green,South Williamsburg,Ocean Hill,Brooklyn,Brooklyn,0,16.08,4.14,4.76
5187,2019-03-05 00:42:20,2019-03-05 00:51:13,0,2.2,9.0,3.05,0.0,13.35,yellow,LaGuardia Airport,Jackson Heights,Queens,Queens,0,0.4,1.27,0.0
86,2019-03-04 20:20:15,2019-03-04 20:24:14,1,0.6,5.0,0.0,0.0,6.3,yellow,Morningside Heights,Morningside Heights,Manhattan,Manhattan,1,89.88,92.71,93.78
2727,2019-03-30 10:31:05,2019-03-30 10:55:37,1,4.64,19.5,4.0,0.0,26.8,yellow,Flatiron,East Harlem South,Manhattan,Manhattan,0,0.03,1.24,0.0
3171,2019-03-20 07:31:39,2019-03-20 07:44:06,2,2.05,10.0,2.66,0.0,15.96,yellow,Lincoln Square East,Midtown East,Manhattan,Manhattan,0,0.01,1.24,0.0
4238,2019-03-07 18:57:04,2019-03-07 19:06:07,1,0.89,7.0,0.0,0.0,11.3,yellow,Greenwich Village North,East Village,Manhattan,Manhattan,1,91.86,93.67,93.78
1179,2019-03-13 15:11:46,2019-03-13 15:56:23,1,10.64,38.0,14.12,5.76,61.18,yellow,Lincoln Square East,LaGuardia Airport,Manhattan,Queens,0,0.16,1.25,0.0
1115,2019-03-20 11:21:58,2019-03-20 11:47:47,5,2.76,16.5,3.96,0.0,23.76,yellow,Upper East Side North,Times Sq/Theatre District,Manhattan,Manhattan,0,0.04,1.24,0.0
4934,2019-03-26 08:56:03,2019-03-26 09:23:25,1,3.4,18.0,5.45,0.0,27.25,yellow,Times Sq/Theatre District,TriBeCa/Civic Center,Manhattan,Manhattan,0,0.03,1.24,0.0
549,2019-03-16 22:51:55,2019-03-16 23:17:51,1,3.29,17.5,5.32,0.0,26.62,yellow,Lower East Side,East Chelsea,Manhattan,Manhattan,0,0.02,1.24,0.0
3621,2019-03-29 19:42:58,2019-03-29 19:46:53,2,0.51,4.5,0.0,0.0,8.8,yellow,Penn Station/Madison Sq West,Flatiron,Manhattan,Manhattan,1,93.88,94.54,96.77
4683,2019-03-15 16:16:21,2019-03-15 16:30:14,1,1.02,9.5,2.07,0.0,15.87,yellow,SoHo,Lower East Side,Manhattan,Manhattan,0,0.02,1.24,0.0
2198,2019-03-12 14:45:47,2019-03-12 14:56:53,1,0.95,8.0,1.0,0.0,12.3,yellow,Midtown North,Lenox Hill East,Manhattan,Manhattan,0,0.01,1.24,0.0
1534,2019-03-22 13:34:05,2019-03-22 13:40:52,1,0.9,6.5,1.95,0.0,11.75,yellow,Gramercy,Murray Hill,Manhattan,Manhattan,0,0.01,1.24,0.0
380,2019-03-06 13:16:44,2019-03-06 13:23:56,1,1.1,7.0,3.05,0.0,13.35,yellow,Upper East Side North,East Harlem South,Manhattan,Manhattan,0,0.01,1.24,0.0
2518,2019-03-21 12:11:08,2019-03-21 12:30:09,1,0.47,12.0,3.06,0.0,18.36,yellow,Clinton East,Garment District,Manhattan,Manhattan,0,0.02,1.24,0.0
3934,2019-03-20 07:18:12,2019-03-20 07:25:51,1,0.5,6.5,0.0,0.0,7.3,yellow,Carroll Gardens,Cobble Hill,Brooklyn,Brooklyn,1,77.46,83.0,93.1
4049,2019-03-21 18:11:11,2019-03-21 18:26:27,1,2.1,11.5,3.15,0.0,18.95,yellow,Upper West Side North,Times Sq/Theatre District,Manhattan,Manhattan,0,0.01,1.24,0.0
1283,2019-03-09 00:54:57,2019-03-09 01:03:36,1,1.7,8.0,2.35,0.0,14.15,yellow,Greenwich Village South,World Trade Center,Manhattan,Manhattan,0,0.03,1.24,0.0
634,2019-03-08 00:06:51,2019-03-08 00:09:31,2,0.48,4.0,0.0,0.0,7.8,yellow,East Village,Greenwich Village North,Manhattan,Manhattan,1,92.51,93.96,93.78
187,2019-03-17 00:48:21,2019-03-17 00:59:36,2,2.17,10.0,0.0,0.0,13.8,yellow,Little Italy/NoLiTa,Stuy Town/Peter Cooper Village,Manhattan,Manhattan,1,92.5,93.96,93.78
1541,2019-03-14 21:17:22,2019-03-14 21:31:23,2,2.9,12.5,3.25,0.0,19.55,yellow,Midtown Center,Long Island City/Hunters Point,Manhattan,Queens,0,0.09,1.24,0.0
4881,2019-03-10 20:09:00,2019-03-10 20:12:50,1,1.3,5.5,1.4,0.0,10.7,yellow,Lincoln Square West,Manhattan Valley,Manhattan,Manhattan,0,0.01,1.24,0.0
6101,2019-03-26 16:02:40,2019-03-26 16:50:36,1,15.85,49.0,0.0,5.76,56.56,green,Richmond Hill,Norwood,Queens,Bronx,0,5.96,1.94,0.0
1727,2019-03-13 23:44:51,2019-03-13 23:56:48,2,6.15,18.5,0.0,0.0,19.8,yellow,JFK Airport,Howard Beach,Queens,Queens,1,93.93,94.55,96.77
5715,2019-03-28 11:55:42,2019-03-28 12:11:41,1,1.56,11.0,0.0,0.0,11.8,green,Erasmus,Flatbush/Ditmas Park,Brooklyn,Brooklyn,0,37.01,17.79,33.33
2804,2019-03-19 16:53:04,2019-03-19 16:56:52,1,0.94,5.0,1.86,0.0,11.16,yellow,Upper East Side South,Lincoln Square East,Manhattan,Manhattan,0,0.01,1.24,0.0
5043,2019-03-10 12:48:24,2019-03-10 13:08:45,1,4.25,17.5,2.0,0.0,22.8,yellow,Yorkville East,Midtown South,Manhattan,Manhattan,0,0.02,1.24,0.0
4395,2019-03-26 13:30:09,2019-03-26 13:42:35,1,4.73,15.5,3.76,0.0,22.56,yellow,East Harlem South,Gramercy,Manhattan,Manhattan,0,0.02,1.24,0.0
5370,2019-03-04 10:10:33,2019-03-04 10:20:34,1,3.23,11.5,2.0,0.0,14.3,yellow,Washington Heights South,Central Harlem North,Manhattan,Manhattan,0,0.05,1.24,0.0
5344,2019-03-21 18:57:06,2019-03-21 19:30:55,1,10.79,31.5,10.39,5.76,51.95,yellow,Midtown Center,LaGuardia Airport,Manhattan,Queens,0,0.14,1.25,0.0
4927,2019-03-27 21:56:01,2019-03-27 22:05:25,1,1.99,8.5,0.0,0.0,12.3,yellow,Greenwich Village North,Murray Hill,Manhattan,Manhattan,1,90.91,93.23,93.78
4709,2019-03-28 21:51:30,2019-03-28 22:11:14,3,4.93,18.5,4.46,0.0,26.76,yellow,Garment District,Battery Park City,Manhattan,Manhattan,0,0.05,1.24,0.0
4646,2019-03-27 08:27:42,2019-03-27 08:31:06,1,0.41,4.0,1.82,0.0,9.12,yellow,Midtown East,UN/Turtle Bay South,Manhattan,Manhattan,0,0.02,1.24,0.0
2689,2019-03-23 18:25:10,2019-03-23 18:30:15,3,1.72,7.0,1.0,0.0,11.3,yellow,Long Island City/Queens Plaza,Sutton Place/Turtle Bay North,Queens,Manhattan,0,1.14,1.35,0.0
1785,2019-03-22 08:46:10,2019-03-22 08:56:26,5,1.9,9.0,1.0,0.0,13.3,yellow,Lincoln Square West,Manhattan Valley,Manhattan,Manhattan,0,0.03,1.24,0.0
3757,2019-03-09 11:19:25,2019-03-09 11:37:01,1,2.6,13.5,0.0,0.0,16.8,yellow,East Chelsea,Midtown East,Manhattan,Manhattan,1,92.11,93.79,93.78
5388,2019-03-15 08:27:39,2019-03-15 08:32:22,1,0.7,5.0,0.0,0.0,8.3,yellow,Midtown South,East Chelsea,Manhattan,Manhattan,1,91.67,93.59,93.78
807,2019-03-13 23:26:58,2019-03-13 23:37:02,1,2.36,9.5,2.66,0.0,15.96,yellow,Meatpacking/West Village West,Kips Bay,Manhattan,Manhattan,0,0.01,1.24,0.0
1288,2019-03-20 22:11:29,2019-03-20 22:21:49,3,3.38,11.5,2.56,0.0,15.36,yellow,Greenpoint,Astoria,Brooklyn,Queens,0,0.72,1.3,0.0
542,2019-03-31 22:51:53,2019-03-31 22:55:10,1,0.67,4.5,1.66,0.0,9.96,yellow,West Village,Meatpacking/West Village West,Manhattan,Manhattan,0,0.01,1.24,0.0
1472,2019-03-15 13:51:49,2019-03-15 13:54:23,3,0.54,4.0,1.46,0.0,8.76,yellow,Lenox Hill West,Upper East Side North,Manhattan,Manhattan,0,0.02,1.24,0.0
825,2019-03-18 15:42:31,2019-03-18 15:52:16,1,2.02,9.0,2.46,0.0,14.76,yellow,Lincoln Square East,Upper East Side North,Manhattan,Manhattan,0,0.01,1.24,0.0
2347,2019-03-19 22:24:06,2019-03-19 22:38:27,2,2.6,11.5,2.5,0.0,17.8,yellow,Greenwich Village North,UN/Turtle Bay South,Manhattan,Manhattan,0,0.01,1.24,0.0
1996,2019-03-19 22:40:23,2019-03-19 22:47:49,1,0.97,6.5,2.06,0.0,12.36,yellow,Battery Park City,Seaport,Manhattan,Manhattan,0,0.03,1.24,0.0
2956,2019-03-19 07:58:43,2019-03-19 08:14:13,1,1.71,11.0,0.0,0.0,14.3,yellow,Penn Station/Madison Sq West,Midtown East,Manhattan,Manhattan,1,94.49,94.77,96.77
3871,2019-03-07 09:10:21,2019-03-07 09:12:50,1,0.44,4.0,1.82,0.0,9.12,yellow,Garment District,Midtown Center,Manhattan,Manhattan,0,0.01,1.24,0.0
230,2019-03-17 02:22:11,2019-03-17 02:31:02,2,0.66,7.0,1.94,0.0,12.74,yellow,East Village,East Village,Manhattan,Manhattan,0,0.02,1.24,0.0
3901,2019-03-04 07:23:37,2019-03-04 07:25:58,1,0.79,4.0,1.0,0.0,8.3,yellow,Upper East Side South,Lenox Hill West,Manhattan,Manhattan,0,0.01,1.24,0.0
427,2019-03-02 12:18:08,2019-03-02 12:32:38,1,1.65,10.5,2.76,0.0,16.56,yellow,East Chelsea,Midtown East,Manhattan,Manhattan,0,0.01,1.24,0.0
250,2019-03-21 10:07:48,2019-03-21 10:52:02,2,16.74,52.0,15.26,5.76,76.32,yellow,East Chelsea,JFK Airport,Manhattan,Queens,0,0.15,1.25,0.0
479,2019-03-17 03:42:53,2019-03-17 03:50:53,5,2.54,9.5,2.66,0.0,15.96,yellow,Union Sq,Financial District North,Manhattan,Manhattan,0,0.03,1.24,0.0
2551,2019-03-02 17:46:29,2019-03-02 18:20:10,1,17.28,52.0,0.0,5.76,61.06,yellow,JFK Airport,Stuy Town/Peter Cooper Village,Queens,Manhattan,1,83.82,88.85,93.78
5611,2019-03-22 10:51:16,2019-03-22 11:06:48,1,1.81,11.0,0.0,0.0,11.8,green,Crown Heights North,Crown Heights North,Brooklyn,Brooklyn,1,68.57,71.11,75.0
4231,2019-03-03 11:52:38,2019-03-03 12:03:12,4,2.52,10.0,1.0,0.0,14.3,yellow,Lincoln Square East,West Chelsea/Hudson Yards,Manhattan,Manhattan,0,0.03,1.24,0.0
403,2019-03-12 09:24:13,2019-03-12 09:40:30,6,2.11,12.0,0.0,0.0,15.3,yellow,Hudson Sq,East Chelsea,Manhattan,Manhattan,1,95.07,94.99,100.0
4268,2019-03-16 12:04:00,2019-03-16 12:31:42,1,4.31,19.5,5.7,0.0,28.5,yellow,Lenox Hill West,Lincoln Square East,Manhattan,Manhattan,0,0.02,1.24,0.0
2628,2019-03-13 10:11:30,2019-03-13 10:20:51,1,0.8,7.0,2.05,0.0,12.35,yellow,Upper East Side South,Lenox Hill East,Manhattan,Manhattan,0,0.01,1.24,0.0
3493,2019-03-16 00:32:57,2019-03-16 00:40:40,3,1.66,7.5,0.0,0.0,8.8,yellow,Morningside Heights,Manhattan Valley,Manhattan,Manhattan,1,92.17,93.82,93.78
5348,2019-03-26 18:36:08,2019-03-26 19:03:16,1,3.25,19.0,4.66,0.0,27.96,yellow,Battery Park City,East Village,Manhattan,Manhattan,0,0.04,1.24,0.0
2166,2019-03-07 17:46:31,2019-03-07 18:11:54,1,4.77,19.0,0.0,0.0,23.3,yellow,Upper West Side South,East Chelsea,Manhattan,Manhattan,1,79.28,84.89,93.1
1557,2019-03-01 11:37:52,2019-03-01 11:54:29,1,1.7,11.5,3.7,0.0,18.5,yellow,Midtown North,Garment District,Manhattan,Manhattan,0,0.02,1.24,0.0
5777,2019-03-16 09:52:58,2019-03-16 10:02:17,1,2.1,9.0,4.45,0.0,17.0,green,Long Island City/Queens Plaza,Lenox Hill West,Queens,Manhattan,0,0.65,1.3,0.0
3699,2019-03-22 16:48:44,2019-03-22 16:55:06,1,0.4,5.5,1.95,0.0,11.75,yellow,Upper East Side South,Sutton Place/Turtle Bay North,Manhattan,Manhattan,0,0.02,1.24,0.0
