,passengers,distance,fare,tip,tolls,total,predicted,probability cash %,calibration isoreg probability cash %
5686,1,1.0,7.0,0.0,0.0,8.8,1,99.99,89.19
4022,2,0.68,5.0,1.66,0.0,9.96,0,0.0,0.0
1097,1,1.2,7.5,0.0,0.0,10.8,1,99.99,88.89
1263,1,1.73,12.5,1.5,0.0,17.3,0,0.0,0.0
5043,1,4.25,17.5,2.0,0.0,22.8,0,0.0,0.0
2952,1,1.5,9.0,2.45,0.0,14.75,0,0.0,0.0
2753,1,1.29,11.0,0.0,0.0,15.3,1,99.99,83.06
3570,3,16.33,52.0,0.0,5.76,61.06,1,72.75,38.46
4305,4,4.48,16.0,3.96,0.0,23.76,0,0.0,0.0
6357,1,0.0,2.5,0.0,0.0,3.3,1,99.99,89.55
1507,1,4.75,17.5,4.16,0.0,24.96,0,0.0,0.0
1578,1,0.53,7.5,0.0,0.0,10.8,1,99.99,89.19
746,1,2.59,10.5,1.0,0.0,15.3,0,0.0,0.0
5830,1,2.49,11.5,0.0,0.0,12.8,1,99.99,83.06
5033,1,5.2,22.5,6.55,0.0,32.85,0,0.0,0.0
5146,2,0.84,5.5,1.96,0.0,11.76,0,0.0,0.0
6364,3,6.82,23.5,5.61,0.0,33.66,0,0.0,0.0
1092,1,0.97,9.5,0.0,0.0,12.8,1,99.99,83.06
3217,1,0.4,3.5,0.0,0.0,6.8,1,99.99,89.55
265,1,0.77,6.0,1.2,0.0,11.0,0,0.0,0.0
5351,1,1.28,6.0,1.96,0.0,11.76,0,0.0,0.0
4266,5,3.72,13.0,2.2,0.0,19.0,0,0.0,0.0
6421,6,10.23,33.0,0.0,0.0,33.8,1,99.9,38.46
2633,1,0.54,4.5,1.06,0.0,6.36,0,0.0,0.0
1129,1,0.97,10.5,0.0,0.0,13.8,1,99.99,83.06
2746,4,2.59,10.0,0.0,0.0,13.3,1,99.99,83.06
3808,2,5.18,20.0,4.66,0.0,27.96,0,0.0,0.0
2142,1,0.82,12.5,3.95,0.0,19.75,0,0.0,0.0
5234,1,1.7,12.5,1.2,0.0,18.0,0,0.0,0.0
2803,1,1.08,7.0,2.16,0.0,12.96,0,0.0,0.0
1745,1,1.6,9.0,2.45,0.0,14.75,0,0.0,0.0
3826,1,1.6,10.0,0.0,0.0,13.8,1,99.99,83.06
196,1,6.5,23.5,0.0,5.76,32.56,1,99.41,38.46
2187,3,1.04,6.5,1.96,0.0,11.76,0,0.0,0.0
2874,1,1.27,9.5,3.2,0.0,16.0,0,0.0,0.0
6107,1,11.19,33.78,0.0,0.0,34.28,1,99.89,38.46
1371,1,0.4,3.5,0.0,0.0,6.8,1,99.99,89.55
5273,1,0.1,3.0,0.0,0.0,4.8,1,99.99,89.55
432,1,2.5,10.0,2.76,0.0,16.56,0,0.0,0.0
6292,1,22.81,70.0,0.0,5.76,77.06,0,5.24,33.33
3158,1,1.0,7.5,2.15,0.0,12.95,0,0.0,0.0
2801,1,1.0,6.0,1.3,0.0,10.6,0,0.0,0.0
3434,1,0.42,3.5,2.0,0.0,9.3,0,0.0,0.0
4531,1,0.69,5.5,1.86,0.0,11.16,0,0.0,0.0
5850,1,1.87,8.0,1.0,0.0,12.55,0,0.0,0.0
1940,1,3.49,16.5,3.96,0.0,23.76,0,0.0,0.0
4519,2,1.1,7.5,3.35,0.0,14.65,0,0.0,0.0
1912,3,2.9,20.5,4.76,0.0,28.56,0,0.0,0.0
706,1,1.81,9.0,0.0,0.0,12.8,1,99.99,83.06
5179,1,0.4,4.0,0.0,0.0,8.3,1,99.99,89.55
84,2,1.5,9.5,0.0,0.0,12.8,1,99.99,83.06
811,2,1.28,6.5,2.0,0.0,11.8,0,0.0,0.0
3340,0,1.4,11.5,2.2,0.0,17.0,0,0.0,0.0
5307,1,2.3,10.0,2.66,0.0,15.96,0,0.0,0.0
4236,1,2.27,9.5,3.2,0.0,16.0,0,0.0,0.0
4599,2,0.5,4.5,0.0,0.0,7.8,1,99.99,89.55
3319,5,2.64,12.0,3.16,0.0,18.96,0,0.0,0.0
5125,1,1.32,10.5,2.25,0.0,16.05,0,0.0,0.0
756,5,1.48,10.0,0.0,0.0,14.3,1,99.99,83.06
1221,1,4.1,18.5,0.0,0.0,22.8,1,99.98,67.65
4377,1,1.52,8.5,1.0,0.0,12.8,0,0.0,0.0
5227,2,2.23,9.0,2.46,0.0,14.76,0,0.0,0.0
2153,1,2.24,8.5,1.77,0.0,13.57,0,0.0,0.0
2094,4,5.2,21.0,4.96,0.0,29.76,0,0.0,0.0
378,3,1.03,5.5,1.76,0.0,10.56,0,0.0,0.0
3548,1,0.52,5.0,1.45,0.0,7.25,0,0.0,0.0
1558,5,3.26,17.5,2.18,0.0,23.98,0,0.0,0.0
4942,1,9.7,31.0,7.0,0.0,41.8,0,0.0,0.0
1370,2,0.7,5.5,1.75,0.0,10.55,0,0.0,0.0
2515,1,1.32,6.0,1.86,0.0,11.16,0,0.0,0.0
3721,5,1.43,13.0,0.0,0.0,16.3,1,99.98,81.58
3235,1,1.1,8.0,2.36,0.0,14.16,0,0.0,0.0
185,1,1.8,11.5,0.0,0.0,14.8,1,99.99,83.06
812,1,0.48,4.0,0.0,0.0,7.3,1,99.99,89.55
1978,2,0.2,3.0,0.0,0.0,6.3,1,99.99,89.55
2855,2,2.05,11.5,2.96,0.0,17.76,0,0.0,0.0
4952,1,1.78,9.0,0.0,0.0,12.3,1,99.99,83.06
3866,1,1.09,8.0,2.26,0.0,13.56,0,0.0,0.0
5890,1,2.49,11.0,0.0,0.0,15.05,1,99.99,83.06
4196,1,1.4,8.5,1.0,0.0,12.8,0,0.0,0.0
2513,1,0.65,4.0,0.0,0.0,7.8,1,99.99,89.55
2182,1,2.28,11.5,0.0,0.0,14.8,1,99.99,83.06
5037,1,1.19,9.5,2.56,0.0,15.36,0,0.0,0.0
4392,1,4.12,15.5,3.76,0.0,22.56,0,0.0,0.0
4801,1,1.2,9.0,0.0,0.0,12.3,1,99.99,83.06
1044,1,0.33,3.0,0.0,0.0,7.3,1,99.99,89.55
1632,3,2.13,10.5,0.0,0.0,14.25,1,99.99,83.06
4706,1,1.0,6.5,2.05,0.0,12.35,0,0.0,0.0
4315,6,0.75,4.5,1.56,0.0,9.36,0,0.0,0.0
2716,1,0.9,6.0,3.0,0.0,12.8,0,0.0,0.0
1840,1,2.0,13.0,3.25,0.0,19.55,0,0.0,0.0
6376,1,2.78,13.5,0.0,0.0,14.3,1,99.98,81.58
4578,1,0.98,6.0,1.86,0.0,11.16,0,0.0,0.0
1075,1,9.15,39.0,8.46,0.0,50.76,0,0.0,0.0
1049,1,2.2,11.0,0.0,0.0,14.8,1,99.99,83.06
6398,1,18.39,50.5,7.7,0.0,59.0,0,0.0,0.0
4091,1,0.88,8.0,0.0,0.0,12.3,1,99.99,83.06
2471,2,1.19,6.5,2.0,0.0,11.8,0,0.0,0.0
3688,1,0.8,5.0,1.66,0.0,9.96,0,0.0,0.0
1101,1,1.5,16.0,3.85,0.0,23.15,0,0.0,0.0
5696,2,2.78,14.0,0.0,0.0,15.3,1,99.98,81.58
4536,1,0.82,4.5,1.76,0.0,10.56,0,0.0,0.0
228,1,9.9,28.0,7.51,5.76,45.07,0,0.0,0.0
5123,1,2.02,10.5,2.76,0.0,16.56,0,0.0,0.0
2678,1,1.0,7.0,0.0,0.0,10.3,1,99.99,89.19
425,1,2.07,9.5,1.0,0.0,14.3,0,0.0,0.0
248,1,2.32,12.0,0.0,0.0,15.8,1,99.98,83.06
1789,1,1.1,7.5,2.95,0.0,14.75,0,0.0,0.0
2574,1,1.1,7.0,2.25,0.0,13.55,0,0.0,0.0
4577,1,0.94,5.0,1.86,0.0,11.16,0,0.0,0.0
4228,1,6.42,20.0,0.0,0.0,23.8,1,99.97,67.65
401,2,0.64,5.0,2.08,0.0,10.38,0,0.0,0.0
5381,1,1.2,8.5,2.45,0.0,14.75,0,0.0,0.0
5077,1,0.33,3.5,0.0,0.0,6.8,1,99.99,89.55
1825,1,1.34,8.5,2.36,0.0,14.16,0,0.0,0.0
1163,1,1.1,7.5,2.16,0.0,12.96,0,0.0,0.0
604,1,1.72,8.0,3.39,0.0,14.69,0,0.0,0.0
3443,1,2.03,11.0,0.0,0.0,14.3,1,99.99,83.06
3098,1,3.9,16.0,0.0,0.0,19.8,1,99.98,70.37
5969,1,6.33,16.68,0.0,0.0,17.18,1,99.98,67.65
3252,1,0.87,8.5,1.92,0.0,14.72,0,0.0,0.0
5942,1,10.27,31.0,0.0,5.76,37.56,1,98.6,38.46
254,1,2.7,13.5,0.0,0.0,16.8,1,99.98,81.58
5884,2,0.68,4.0,0.0,0.0,4.8,1,99.99,89.55
221,1,8.81,27.5,7.31,5.76,43.87,0,0.0,0.0
3151,1,2.2,15.0,3.65,0.0,21.95,0,0.0,0.0
6377,1,1.62,8.0,0.0,0.0,8.8,1,99.99,89.19
65,1,2.42,15.5,3.76,0.0,22.56,0,0.0,0.0
1620,1,0.98,5.0,0.0,0.0,9.3,1,99.99,89.19
1580,1,3.35,12.0,3.16,0.0,18.96,0,0.0,0.0
3130,3,0.7,5.5,1.76,0.0,10.56,0,0.0,0.0
5490,1,0.02,2.5,0.0,0.0,3.3,1,99.99,89.55
4420,1,2.5,10.0,0.0,0.0,13.3,1,99.99,83.06
1188,1,0.49,4.0,0.0,0.0,4.8,1,99.99,89.55
1454,1,1.4,7.0,1.5,0.0,11.8,0,0.0,0.0
1702,2,21.27,56.0,5.0,0.0,61.8,0,0.0,0.0
5747,1,3.0,11.0,0.0,0.0,12.8,1,99.99,83.06
1618,1,1.0,6.5,1.96,0.0,11.76,0,0.0,0.0
3085,1,3.2,14.5,0.0,0.0,15.3,1,99.98,81.58
5220,3,0.8,5.0,1.65,0.0,9.95,0,0.0,0.0
2812,1,0.8,7.0,2.05,0.0,12.35,0,0.0,0.0
6307,1,1.3,7.5,0.0,0.0,8.8,1,99.99,89.19
4112,1,1.95,12.0,0.0,0.0,15.3,1,99.98,83.06
376,1,2.4,9.5,5.0,0.0,17.8,0,0.0,0.0
543,1,0.98,6.0,1.86,0.0,11.16,0,0.0,0.0
5643,5,1.54,8.0,0.0,0.0,9.3,1,99.99,83.06
2704,1,0.2,3.0,0.0,0.0,6.8,1,99.99,89.55
3039,1,2.5,11.5,0.0,0.0,14.8,1,99.98,83.06
705,1,0.76,6.0,1.96,0.0,11.76,0,0.0,0.0
4490,1,2.05,9.0,0.0,0.0,13.3,1,99.99,83.06
2921,5,0.86,5.5,1.32,0.0,10.12,0,0.0,0.0
177,1,5.19,17.5,4.0,0.0,25.8,0,0.0,0.0
6302,1,1.39,9.0,0.0,0.0,10.8,1,99.99,83.06
3830,1,0.81,5.5,1.76,0.0,10.56,0,0.0,0.0
2882,3,7.35,22.5,1.0,0.0,27.3,0,0.0,0.0
2663,1,2.2,11.0,0.0,0.0,14.8,1,99.99,83.06
501,1,9.65,33.0,10.76,5.76,53.82,0,0.0,0.0
1858,1,1.2,6.5,1.0,0.0,10.8,0,0.0,0.0
2650,3,8.4,27.5,0.0,5.76,36.56,1,99.06,38.46
2677,6,1.28,7.5,2.16,0.0,12.96,0,0.0,0.0
5957,1,0.0,9.5,0.0,0.0,10.3,1,99.99,88.89
864,2,0.4,3.5,2.0,0.0,8.8,0,0.0,0.0
3849,1,0.66,5.0,2.32,0.0,11.62,0,0.0,0.0
1183,1,4.93,17.0,0.0,0.0,20.8,1,99.98,67.65
5002,1,0.86,6.0,1.0,0.0,10.3,0,0.0,0.0
6116,1,5.95,19.5,4.0,0.0,27.55,0,0.0,0.0
5028,1,1.71,8.5,2.36,0.0,14.16,0,0.0,0.0
168,2,1.56,9.5,0.0,0.0,13.3,1,99.99,83.06
5837,1,6.39,20.92,0.0,0.0,21.42,1,99.97,67.65
1643,1,8.8,27.0,4.0,5.76,40.56,0,0.0,0.0
4619,5,0.5,5.0,1.76,0.0,10.56,0,0.0,0.0
1405,0,2.4,11.0,2.85,0.0,17.15,0,0.0,0.0
5621,1,0.7,5.0,0.0,0.0,5.8,1,99.99,89.55
319,2,0.7,6.0,1.95,0.0,11.75,0,0.0,0.0
2818,1,11.48,31.0,0.0,0.0,32.8,1,99.89,38.46
1886,1,1.61,10.0,1.43,0.0,15.73,0,0.0,0.0
4246,1,4.42,17.5,0.0,0.0,21.3,1,99.98,67.65
1323,1,1.43,7.5,2.16,0.0,12.96,0,0.0,0.0
3089,1,1.94,12.0,1.0,0.0,16.3,0,0.0,0.0
4739,1,0.64,5.0,1.66,0.0,9.96,0,0.0,0.0
2304,1,0.9,5.5,1.75,0.0,10.55,0,0.0,0.0
506,1,0.5,6.5,1.0,0.0,10.8,0,0.0,0.0
2877,1,1.1,7.0,2.05,0.0,12.35,0,0.0,0.0
5030,1,20.1,52.0,12.2,5.76,73.26,0,0.0,0.0
5748,1,1.92,8.5,1.86,0.0,11.16,0,0.0,0.0
1741,2,0.45,4.5,0.0,0.0,5.8,1,99.99,89.55
3519,3,7.04,26.0,0.0,0.0,29.3,1,99.96,62.5
6382,1,0.91,5.5,2.0,0.0,11.25,0,0.0,0.0
1941,2,2.6,14.5,0.0,0.0,17.8,1,99.98,81.58
6012,1,2.23,9.5,0.0,0.0,10.8,1,99.99,83.06
2893,1,1.27,11.0,3.06,0.0,18.36,0,0.0,0.0
333,1,2.14,8.0,0.0,0.0,11.8,1,99.99,83.06
4625,1,5.89,23.0,5.26,0.0,31.56,0,0.0,0.0
6424,1,1.7,8.0,0.0,0.0,9.3,1,99.99,89.19
3542,1,2.3,10.0,0.0,0.0,13.8,1,99.99,83.06
4376,1,0.7,6.5,2.16,0.0,12.96,0,0.0,0.0
6276,1,0.89,5.5,1.36,0.0,8.16,0,0.0,0.0
4354,1,7.4,28.0,0.0,0.0,31.8,1,99.95,41.67
3206,1,1.73,10.0,2.0,0.0,16.3,0,0.0,0.0
1732,1,1.25,12.0,3.82,0.0,19.12,0,0.0,0.0
1407,1,1.4,7.5,2.15,0.0,12.95,0,0.0,0.0
1321,1,8.3,31.5,8.7,0.0,43.5,0,0.0,0.0
2310,2,0.8,6.0,1.95,0.0,11.75,0,0.0,0.0
437,2,1.33,8.0,2.26,0.0,13.56,0,0.0,0.0
2312,1,1.14,7.0,2.06,0.0,12.36,0,0.0,0.0
4610,1,3.46,17.0,0.0,0.0,21.3,1,99.98,70.37
3905,1,3.8,17.0,6.05,0.0,26.35,0,0.0,0.0
3106,1,6.3,27.5,0.0,0.0,30.8,1,99.96,41.67
3720,1,1.13,6.0,1.0,0.0,10.3,0,0.0,0.0
743,1,1.5,9.0,2.46,0.0,14.76,0,0.0,0.0
3822,2,0.53,5.0,0.0,0.0,9.3,1,99.99,89.19
259,6,5.53,17.5,2.5,0.0,23.8,0,0.0,0.0
6007,1,1.01,6.0,0.0,0.0,7.3,1,99.99,89.19
932,1,2.41,14.5,3.56,0.0,21.36,0,0.0,0.0
6233,1,1.58,9.0,1.96,0.0,11.76,0,0.0,0.0
1057,1,1.85,12.0,3.16,0.0,18.96,0,0.0,0.0
1721,1,0.92,5.0,0.0,0.0,8.8,1,99.99,89.19
1175,1,0.45,3.5,0.0,0.0,6.8,1,99.99,89.55
599,1,1.86,9.5,0.0,0.0,12.8,1,99.99,83.06
45,1,0.8,12.5,3.15,0.0,18.95,0,0.0,0.0
1765,2,3.98,17.5,0.0,0.0,20.8,1,99.98,70.37
3166,4,1.52,8.5,2.46,0.0,14.76,0,0.0,0.0
323,5,3.27,15.0,0.92,0.0,19.22,0,0.0,0.0
4129,1,3.0,11.0,0.0,0.0,14.3,1,99.98,83.06
5981,1,20.51,54.16,0.0,5.76,60.42,0,44.65,38.46
3404,1,0.91,7.0,0.0,0.0,10.3,1,99.99,89.19
1782,1,0.99,6.0,1.86,0.0,11.16,0,0.0,0.0
3008,4,2.5,11.5,0.0,0.0,14.8,1,99.98,83.06
4182,6,1.65,8.5,1.77,0.0,13.57,0,0.0,0.0
1223,1,0.53,5.0,0.0,0.0,9.3,1,99.99,89.19
4923,2,3.5,17.0,4.15,0.0,24.95,0,0.0,0.0
231,1,0.62,7.5,2.16,0.0,12.96,0,0.0,0.0
576,3,3.48,16.5,4.06,0.0,24.36,0,0.0,0.0
4937,2,1.6,10.0,2.75,0.0,16.55,0,0.0,0.0
5752,1,1.3,7.0,0.0,0.0,7.8,1,99.99,89.19
447,2,2.6,12.0,3.15,0.0,18.95,0,0.0,0.0
3625,5,1.71,16.5,3.0,0.0,22.8,0,0.0,0.0
6049,1,0.8,5.5,1.25,0.0,7.55,0,0.0,0.0
5298,1,1.7,13.5,0.0,0.0,16.8,1,99.98,81.58
2771,1,0.2,3.0,0.0,0.0,4.3,1,99.99,89.55
410,1,1.39,10.5,1.0,0.0,14.8,0,0.0,0.0
41,0,4.5,20.0,0.0,0.0,23.3,1,99.97,67.65
3025,1,1.25,10.5,2.76,0.0,16.56,0,0.0,0.0
5319,1,19.62,52.0,11.06,0.0,66.36,0,0.0,0.0
3053,1,7.03,23.0,4.86,0.0,29.16,0,0.0,0.0
4943,2,1.82,7.0,2.26,0.0,13.56,0,0.0,0.0
1176,1,5.12,15.5,0.0,0.0,16.3,1,99.98,70.37
752,1,0.4,5.0,0.0,0.0,9.3,1,99.99,89.19
19,6,1.08,6.5,1.08,0.0,11.38,0,0.0,0.0
1425,1,0.96,6.0,1.86,0.0,11.16,0,0.0,0.0
1918,1,0.85,5.0,1.76,0.0,10.56,0,0.0,0.0
2181,1,1.38,8.0,1.2,0.0,12.5,0,0.0,0.0
4421,1,2.74,12.5,3.36,0.0,20.16,0,0.0,0.0
626,1,1.3,12.5,3.16,0.0,18.96,0,0.0,0.0
199,1,1.8,11.0,0.0,0.0,14.3,1,99.99,83.06
1738,1,0.56,4.5,1.56,0.0,9.36,0,0.0,0.0
2957,4,1.3,7.5,0.0,0.0,10.8,1,99.99,88.89
681,1,0.71,4.5,1.11,0.0,9.91,0,0.0,0.0
51,4,1.89,12.0,0.0,0.0,15.3,1,99.98,83.06
1219,1,0.31,3.0,1.36,0.0,8.16,0,0.0,0.0
4587,1,2.7,12.5,3.25,0.0,19.55,0,0.0,0.0
2418,1,22.5,52.0,13.0,5.76,74.06,0,0.0,0.0
1074,1,1.17,5.5,1.0,0.0,9.8,0,0.0,0.0
4667,1,1.89,7.5,1.0,0.0,12.8,0,0.0,0.0
4056,2,2.6,10.0,0.0,0.0,13.8,1,99.99,83.06
101,1,1.15,7.0,2.06,0.0,12.36,0,0.0,0.0
5448,1,2.05,9.5,2.56,0.0,15.36,0,0.0,0.0
4850,1,7.16,22.0,1.0,0.0,26.8,0,0.0,0.0
5166,1,1.3,14.5,0.0,0.0,17.8,1,99.98,81.58
620,5,0.96,7.5,0.0,0.0,10.8,1,99.99,83.06
3016,0,3.0,18.5,5.45,0.0,27.25,0,0.0,0.0
5329,1,0.6,6.5,1.95,0.0,11.75,0,0.0,0.0
4113,1,1.7,10.5,2.75,0.0,16.55,0,0.0,0.0
2463,1,1.35,9.5,1.8,0.0,14.6,0,0.0,0.0
1485,1,2.69,13.5,0.0,0.0,16.8,1,99.98,81.58
4981,1,5.9,21.5,2.0,0.0,26.8,0,0.0,0.0
672,1,0.48,4.5,1.56,0.0,9.36,0,0.0,0.0
3150,1,0.7,5.5,0.0,0.0,8.8,1,99.99,89.19
4774,3,2.8,16.5,4.15,0.0,24.95,0,0.0,0.0
4909,1,0.9,6.0,1.85,0.0,11.15,0,0.0,0.0
1010,1,0.64,5.5,0.0,0.0,9.8,1,99.99,89.19
2034,2,0.49,5.0,0.0,0.0,8.3,1,99.99,89.55
4478,1,1.22,8.5,2.36,0.0,14.16,0,0.0,0.0
4342,1,1.5,8.5,2.55,0.0,15.35,0,0.0,0.0
6291,1,3.4,12.0,0.0,0.0,13.3,1,99.98,83.06
1694,1,2.87,13.5,3.46,0.0,20.76,0,0.0,0.0
6190,1,1.93,8.5,0.0,0.0,12.05,1,99.99,83.06
3469,2,0.5,4.5,1.75,0.0,10.55,0,0.0,0.0
2351,1,1.48,11.0,0.0,0.0,14.3,1,99.99,83.06
1902,1,5.9,25.5,0.0,0.0,29.3,1,99.96,62.5
1039,1,1.85,13.0,1.0,0.0,17.3,0,0.0,0.0
3647,1,1.99,8.5,1.0,0.0,12.8,0,0.0,0.0
565,1,1.47,11.5,1.0,0.0,16.3,0,0.0,0.0
1412,1,1.9,9.0,2.66,0.0,15.96,0,0.0,0.0
5391,1,0.95,5.5,0.0,0.0,8.8,1,99.99,89.19
4920,1,1.0,5.5,2.0,0.0,9.3,0,0.0,0.0
5064,1,1.0,6.0,2.75,0.0,12.05,0,0.0,0.0
1034,1,1.5,7.5,2.8,0.0,14.1,0,0.0,0.0
907,2,0.59,4.0,0.0,0.0,7.8,1,99.99,89.55
5521,1,6.1,28.0,0.0,0.0,28.5,1,99.96,62.5
3231,1,1.12,6.0,1.0,0.0,10.3,0,0.0,0.0
408,2,0.83,8.5,3.2,0.0,16.0,0,0.0,0.0
5642,1,3.3,16.0,0.0,0.0,16.8,1,99.98,81.58
325,2,1.7,10.5,0.0,0.0,13.8,1,99.99,83.06
3395,1,6.98,20.5,0.0,0.0,23.8,1,99.97,67.65
2144,1,3.3,12.5,3.26,0.0,19.56,0,0.0,0.0
290,1,0.77,7.0,2.06,0.0,12.36,0,0.0,0.0
6064,2,1.54,7.5,0.0,0.0,8.8,1,99.99,89.19
3488,6,2.33,17.0,3.04,0.0,23.34,0,0.0,0.0
4253,1,1.1,9.5,1.0,0.0,13.8,0,0.0,0.0
3646,2,0.6,8.0,2.25,0.0,13.55,0,0.0,0.0
3107,1,10.54,40.0,12.26,5.76,61.32,0,0.0,0.0
2926,2,0.5,4.5,1.56,0.0,9.36,0,0.0,0.0
1446,1,3.5,14.0,0.0,0.0,17.8,1,99.98,70.37
5709,1,2.1,9.5,0.0,0.0,10.3,1,99.99,83.06
5407,6,5.39,19.0,0.0,0.0,22.3,1,99.97,67.65
755,4,0.66,4.5,1.66,0.0,9.96,0,0.0,0.0
2298,1,1.61,7.5,1.0,0.0,12.3,0,0.0,0.0
371,1,1.04,6.0,0.0,0.0,9.3,1,99.99,89.19
1426,1,2.33,11.5,4.44,0.0,19.24,0,0.0,0.0
4870,6,19.94,52.0,0.0,5.76,61.06,0,45.51,38.46
3954,1,1.42,6.0,1.86,0.0,11.16,0,0.0,0.0
6060,1,1.2,7.0,0.0,0.0,7.8,1,99.99,89.19
1483,2,0.51,5.5,2.45,0.0,12.25,0,0.0,0.0
2291,1,0.4,5.5,1.32,0.0,10.12,0,0.0,0.0
3481,2,0.86,4.5,1.24,0.0,9.54,0,0.0,0.0
1153,1,0.7,5.0,0.0,0.0,8.8,1,99.99,89.19
2728,1,5.75,23.0,3.7,0.0,31.0,0,0.0,0.0
2706,1,1.7,7.5,2.26,0.0,13.56,0,0.0,0.0
1345,5,1.31,8.0,0.0,0.0,11.3,1,99.99,83.06
3794,1,1.42,9.0,1.5,0.0,13.8,0,0.0,0.0
6297,1,1.05,6.0,0.0,0.0,7.3,1,99.99,89.19
1575,1,2.92,12.0,3.16,0.0,18.96,0,0.0,0.0
1433,1,3.5,14.0,0.0,0.0,17.3,1,99.98,81.58
1881,2,0.8,5.0,1.75,0.0,10.55,0,0.0,0.0
3947,2,0.55,3.5,0.0,0.0,7.3,1,99.99,89.55
3321,1,1.7,15.0,0.0,0.0,18.3,1,99.98,81.58
4871,1,0.53,4.0,2.34,0.0,10.14,0,0.0,0.0
1340,1,1.14,6.0,0.0,0.0,9.3,1,99.99,89.19
4155,1,0.8,6.0,0.0,0.0,9.3,1,99.99,89.19
2313,5,1.32,7.0,0.0,0.0,10.3,1,99.99,83.06
1421,5,2.68,10.0,2.14,0.0,16.44,0,0.0,0.0
2517,2,1.0,5.5,1.86,0.0,11.16,0,0.0,0.0
122,2,2.0,9.5,1.62,0.0,12.42,0,0.0,0.0
5475,1,1.83,11.5,0.0,0.0,13.3,1,99.99,83.06
6167,1,4.28,15.0,0.0,0.0,15.5,1,99.98,70.37
1893,1,0.77,11.5,0.0,0.0,14.8,1,99.99,83.06
5469,1,2.0,9.0,1.96,0.0,11.76,0,0.0,0.0
5591,2,1.66,7.5,0.0,0.0,9.3,1,99.99,89.19
5271,1,0.64,6.0,1.0,0.0,10.3,0,0.0,0.0
2440,1,2.33,12.5,4.08,0.0,20.38,0,0.0,0.0
4020,0,0.4,5.5,1.0,0.0,9.8,0,0.0,0.0
4691,1,3.25,15.0,0.0,0.0,18.8,1,99.98,70.37
439,1,1.94,9.5,2.2,0.0,15.5,0,0.0,0.0
5978,1,4.95,19.71,0.0,0.0,20.21,1,99.98,67.65
3958,1,19.11,52.0,11.71,5.76,70.27,0,0.0,0.0
1992,2,10.97,32.0,0.0,0.0,33.3,1,99.9,38.46
1193,2,0.9,6.0,1.0,0.0,10.8,0,0.0,0.0
6110,1,2.95,17.5,0.0,0.0,18.3,1,99.98,70.37
4264,1,0.0,14.0,2.86,0.0,17.16,0,0.0,0.0
2124,1,16.57,46.01,0.0,0.0,46.81,1,99.07,38.46
3657,1,2.1,11.0,2.95,0.0,17.75,0,0.0,0.0
1079,2,1.39,9.0,1.5,0.0,14.8,0,0.0,0.0
3535,1,1.9,8.5,2.46,0.0,14.76,0,0.0,0.0
2080,0,2.0,9.0,0.0,0.0,12.3,1,99.99,83.06
2829,2,1.2,6.0,0.0,0.0,9.3,1,99.99,89.19
4983,0,5.9,21.0,4.95,0.0,29.75,0,0.0,0.0
3534,1,1.6,8.5,2.95,0.0,14.75,0,0.0,0.0
3277,3,3.8,20.0,4.85,0.0,29.15,0,0.0,0.0
3288,1,0.97,6.0,1.54,0.0,11.84,0,0.0,0.0
279,1,2.1,12.0,3.25,0.0,19.55,0,0.0,0.0
4275,1,0.46,5.0,1.66,0.0,9.96,0,0.0,0.0
3563,1,1.3,11.5,2.0,0.0,16.8,0,0.0,0.0
3505,1,0.6,5.5,0.0,0.0,8.8,1,99.99,89.19
982,1,0.73,6.5,0.0,0.0,9.8,1,99.99,89.19
5540,1,1.2,6.5,0.0,0.0,7.8,1,99.99,89.19
3308,1,1.5,8.5,0.0,0.0,12.3,1,99.99,83.06
4371,1,2.96,18.0,1.1,0.0,22.4,0,0.0,0.0
4367,3,0.95,5.0,0.0,0.0,8.3,1,99.99,89.55
2387,1,1.8,69.06,20.8,0.0,90.16,0,0.0,0.0
2302,1,0.3,4.0,1.55,0.0,9.35,0,0.0,0.0
2083,1,0.69,5.0,2.08,0.0,10.38,0,0.0,0.0
3499,6,9.84,28.5,4.0,0.0,36.3,0,0.0,0.0
4125,1,16.9,52.0,6.1,5.76,67.16,0,0.0,0.0
5845,1,0.52,4.0,0.0,0.0,4.8,1,99.99,89.55
5970,2,0.46,3.5,0.0,0.0,4.3,1,99.99,89.55
5587,1,10.1,30.5,0.0,0.0,31.8,1,99.92,38.46
6120,1,4.69,22.0,0.0,0.0,22.8,1,99.97,67.65
577,4,1.3,6.0,1.0,0.0,10.3,0,0.0,0.0
3872,1,0.84,5.5,1.76,0.0,10.56,0,0.0,0.0
5629,1,1.0,7.5,0.0,0.0,8.8,1,99.99,89.19
787,1,6.23,19.0,4.56,0.0,27.36,0,0.0,0.0
3656,1,1.49,6.5,0.0,0.0,9.8,1,99.99,89.19
1545,1,0.9,5.5,1.85,0.0,11.15,0,0.0,0.0
1870,6,0.54,4.5,1.26,0.0,7.56,0,0.0,0.0
4066,2,0.99,7.5,2.82,0.0,14.12,0,0.0,0.0
1119,1,2.3,9.5,0.0,0.0,12.8,1,99.99,83.06
6197,1,0.87,6.0,0.0,0.0,6.8,1,99.99,89.19
2684,1,8.51,29.5,0.0,0.0,31.3,1,99.94,41.67
1357,1,0.74,8.5,0.0,0.0,11.8,1,99.99,83.06
